date ascii,date,Mobile,Msie,Firefox,Chrome,other,Safari (Mobile),Android (Mobile),other (Mobile),Opera,Opera (Mobile),
2011-05-31,"=DATE(2011,5,31)",12.53,35.34,23.63,14.37,11.60,5.80,2.12,3.68,2.53,0.93,
2011-06-30,"=DATE(2011,6,30)",13.62,34.04,23.27,14.93,11.66,6.15,2.35,4.14,2.49,0.99,
2011-07-31,"=DATE(2011,7,31)",15.06,31.96,23.54,14.96,12.21,6.86,2.71,4.47,2.28,1.02,
2011-08-31,"=DATE(2011,8,31)",12.42,32.35,24.04,16.23,12.79,5.11,1.88,4.69,2.17,0.74,
2011-09-30,"=DATE(2011,9,30)",8.74,33.19,24.76,17.82,13.16,3.88,1.29,3.08,2.33,0.48,
2011-10-31,"=DATE(2011,10,31)",7.43,32.40,23.39,18.16,15.74,0.80,1.94,3.92,2.88,0.77,
2011-11-30,"=DATE(2011,11,30)",7.90,30.81,22.78,18.38,17.47,0.80,2.09,4.19,2.66,0.83,
2011-12-31,"=DATE(2011,12,31)",10.96,28.68,22.01,18.57,17.20,1.06,2.98,5.85,2.58,1.07,
2012-01-31,"=DATE(2012,1,31)",9.83,29.36,21.71,19.48,16.53,3.88,2.80,2.25,3.09,0.90,
2012-02-29,"=DATE(2012,2,29)",9.60,29.10,21.37,20.31,17.19,4.98,2.74,0.95,2.44,0.94,
2012-03-31,"=DATE(2012,3,31)",9.92,28.38,21.13,20.38,17.83,5.12,2.84,0.97,2.36,0.99,
2012-04-30,"=DATE(2012,4,30)",9.47,27.42,20.92,20.90,18.98,4.90,2.77,0.91,2.31,0.89,
2012-05-31,"=DATE(2012,5,31)",9.98,27.32,20.27,21.74,18.43,5.15,3.00,0.86,2.27,0.97,
2012-06-30,"=DATE(2012,6,30)",10.63,27.19,19.21,23.18,17.75,5.51,3.25,0.89,2.04,0.98,
2012-07-31,"=DATE(2012,7,31)",11.82,25.83,19.02,23.36,18.09,6.19,3.68,0.95,1.87,1.00,
2012-08-31,"=DATE(2012,8,31)",12.19,25.65,19.01,24.08,17.18,6.25,3.88,1.00,1.88,1.05,
2012-09-30,"=DATE(2012,9,30)",12.09,24.33,19.29,25.36,16.95,6.12,3.98,0.97,1.98,1.01,
2012-10-15,"=DATE(2012,10,15)",11.08,24.84,19.26,26.10,16.86,5.62,3.60,0.89,1.86,0.98,
