iPod,iPod,iOS
Googlebot-Mobile,Googlebot-Mobile,Other
Kindle,Kindle,Android
CFNetwork,iOS app,iOS
Dalvik,Android app,Android
PlayBook,PlayBook,Blackberry
Google Web Preview,Google Web Preview: Android,Other
iPhone;,iPhone,iOS
Android,Android,Android
BREW,BREW,Other
Windows Phone,Windows Phone,Windows
Brew,BREW,Other
Symbian,Symbian,Symbian
LG,LG,Other
iPad,iPad,iOS
iPhone,iPhone,iOS
PPC,Pocket PC,Windows
Tablet PC,Tablet PC,Windows 
Windows CE,Windows CE,Windows
Windows Mobile,Windows Mobile,Windows
GINGERBREAD,Android,Android
Silk-Accelerated,Kindle,Android
Macintosh; U; Intel Mac OS,Android,Android
BMP,BREW,Other
HTC,HTC,Other
PLAYSTATION 3,Playstation 3,Playstation
PlayStation Portable,PlayStation Portable,Playstation
Google WAP Proxy,Google WAP Proxy,Other
BlackBerry,BlackBerry,Blackberry
J2ME/MIDP; Opera Mini,unspecified Opera Mini,Other
\(J2ME\); Opera Mini,unspecified Opera Mini,Other
Nintendo 3DS,Nintendo 3DS,Nintendo
ZuneWP7,Windows Mobile,Windows
SymbianOS,SymbianOS,Symbian
Alcatel,Alcatel,Other
S60,Series 60,Symbian
SymbOS,Symbian,Symbian
MeeGo,MeeGo/Tizen,Other
Series40,Series40,Symbian
Nokia,Nokia,Symbian
nokia,Nokia,Symbian
N900,Nokia,Symbian
Series 60,Series 60,Symbian
PlayStation Vita,Playstation Vita,Playstation
Nintendo DSi,Nintendo DSi,Nintendo
Pantech,Pantech,Other
PANTECH,Pantech,Other
Nintendo Wii,Nintendo Wii,Nintendo
Bada,Bada,Bada
SAMSUNG,Samsung,Bada
Pixi,Palm,Other
wapedia,wapedia,Other
Pre/,Palm,Other
SonyEricsson,SonyEricsson,Other
gt-s,Samsung,Bada
maui,unspecified WAP,Other
j2me/UC Browser,unspecified UC Browser,Other
gt-i,Samsung,Bada
gt-m,Samsung,Bada
micromax,Micromax,Bada
UNTRUSTED,unspecified Java,Other
MOT-,Motorola,Other
HUAWEI,Huawei,Other
KWC,Kyocera,Other
EBRD1101,Sony Reader,Other
Motorola,Motorola,Other
ASTRO36,Huawei,Other
MAUI,unspecified WAP,Other
PM-8200,Sanyo,Other
NOKIA,NOKIA,Symbian
UCWEB,unspecified UC Browser,Other
Palm,Palm,Other
Blazer,Palm,Other
SoftBank,SoftBank,Other
timewe.net,timewe WAP simulator,Other
NF-Browser,3 Skypephone,Other
AU-MIC/2.0,Samsung,Bada
OPWV,Openwave,Other
Sunrise,Sunrise,Other
AUDIOVOX,Audiovox,Other
Haier,Haier,Other
WapOnWindows,WapOnWindows,Other
portalmmm,Samsung,Bada
KDDI,KDDI,Other
KCI,KCI,Other
MXit WebBot,MXit WebBot,Other
DoCoMo,DoCoMo,Other
Dorado,unspecified WAP,Other
